Date,Opening Prices
2023-07-08,292.18
2023-07-09,292.18
2023-07-10,295.55
2023-07-11,293.9
2023-07-12,301.75
2023-07-13,313.62
2023-07-14,311.79
2023-07-15,311.79
2023-07-16,311.79
2023-07-17,307.54
2023-07-18,310.88
2023-07-19,313.03
2023-07-20,313.5
2023-07-21,304.57
2023-07-22,304.57
2023-07-23,304.57
2023-07-24,295.78
2023-07-25,295.19
2023-07-26,301.19
2023-07-27,325.12
2023-07-28,316.88
2023-07-29,316.88
2023-07-30,316.88
2023-07-31,323.69
2023-08-01,317.54
2023-08-02,318.0
2023-08-03,309.93
2023-08-04,314.96
2023-08-05,314.96
2023-08-06,314.96
2023-08-07,313.23
2023-08-08,314.4
2023-08-09,312.88
2023-08-10,307.94
2023-08-11,302.57
2023-08-12,302.57
2023-08-13,302.57
2023-08-14,300.98
2023-08-15,306.14
2023-08-16,300.2
2023-08-17,293.05
2023-08-18,279.03
2023-08-19,279.03
2023-08-20,279.03
2023-08-21,283.45
2023-08-22,292.55
2023-08-23,288.5
2023-08-24,298.5
2023-08-25,286.13
2023-08-26,286.13
2023-08-27,286.13
2023-08-28,288.0
2023-08-29,288.58
2023-08-30,297.17
2023-08-31,295.8
